Job Code,Job Code Desc,Standard Labour Hrs,Billing Hrs,Type,Parent Product Line,Status,Aggregate,Job Code Type
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Xenon XT,Active,,
13100,R/R CYL HEAD COVER / HEAD COVER GASKET,0.5,,Labour,ScPass-Winger,Active,Engine and Accessories,Minor Repair
13100,R/R CYL HEAD COVER / HEAD COVER GASKET,0.5,0.5,Labour,Venture,Active,0,0
13100,R/R CYL HEAD COVER / HEAD COVER GASKET,0.5,,Labour,Venture,Active,Engine and Accessories,Minor Repair
13100,R/R CYL HEAD COVER / HEAD COVER GASKET,0.5,0.5,Labour,Winger_Platinum,Active,0,0
13100,R/R CYL HEAD COVER / HEAD COVER GASKET,0.5,,Labour,Winger_Platinum,Active,Engine and Accessories,0
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.8,Labour,Adventure,Active,Engine,Major
14000,R/R PRECHAMBERS,3.5,0.8,Labour,Adventure,Active,,
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Aria,Active,0,0
14000,R/R PRECHAMBERS,2.9,3,Labour,Fiat500,Active,,
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Indica,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Indica Vista,Active,Engine and Accessories,Major Repair
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Indigo,Active,Engine,Major
14000,R/R PRECHAMBERS,3.5,3.5,Labour,Indigo Manza,Active,,
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Linea,Active,Engine,Major
14000,PRECHAMBERS TIGHTEN (ALL ),0.6,0.6,Labour,Linea,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Marina,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Palio,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),2.9,0.6,Labour,Palio,Active,,
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),2.9,2.9,Labour,Palio Stile,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Petra,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Safari,Active,Engine,Major
14000,PRECHAMBERS TIGHTEN (ALL ),0.6,,Labour,ScPass-Winger,Active,0,0
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Siena,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Spacio,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Sumo,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Sumo Grande,Active,,
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Uno,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Week End,Active,Engine,Major
14000,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),0.6,0.6,Labour,Xenon XT,Active,,
14100,RENEW PRECHAMBERS,1.8,,Labour,ScPass-Winger,Active,0,0
14100,RENEW PRECHAMBERS,1.8,1.8,Labour,Sumo Grande,Active,,
14200,RENEW PRECHAMBERS ( CYL HEAD REMOVED),0.7,,Labour,ScPass-Winger,Active,0,0
14200,RENEW PRECHAMBERS ( CYL HEAD REMOVED),0.7,0.7,Labour,Sumo Grande,Active,,
14200,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),1,1,Labour,Venture,Active,0,0
14200,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),1,,Labour,Venture,Active,Engine and Accessories,Minor Repair
14200,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),1,1,Labour,Winger_Platinum,Active,0,0
14200,REPLACE PRE COMBUSTION CHAMBERS (AFTER HEAD DISMANTLING),1,,Labour,Winger_Platinum,Active,Engine and Accessories,0
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.3,Labour,Adventure,Active,Engine,Major
15000,R/R CYLINDER HEAD DIESEL,3,2.3,Labour,Adventure,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),4.8,4.8,Labour,Aria,Active,0,0
15000,R/R CYLINDER HEAD DIESEL,2.5,2.5,Labour,Fiat500,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),3.9,4,Labour,Grande Punto,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,3.2,Labour,Indica,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,3.2,Labour,Indica Vista,Active,Engine and Accessories,Major Repair
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,3.2,Labour,Indigo,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,3.2,Labour,Indigo Manza,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.25,Labour,Linea,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),3.9,2.25,Labour,Linea,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,3.2,Labour,Marina,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE,1.1,1.1,Labour,Nano,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.25,Labour,Palio,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.5,2.25,Labour,Palio,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.5,2.5,Labour,Palio Stile,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.25,Labour,Petra,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.5,4.8,Labour,Safari,Active,Engine,Major
15000,CYL. HEAD REMOVE AND DETERMINE CONDITION,2.25,,Labour,ScPass-Winger,Active,0,0
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.25,Labour,Siena,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.5,3.6,Labour,Spacio,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.5,3.6,Labour,Sumo,Active,Engine,Major
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,4.8,Labour,Sumo Grande,Active,Engine,Major
15000,CYL. HEAD REMOVE AND DETERMINE CONDITION,2.25,4.8,Labour,Sumo Grande,Active,,
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.25,Labour,Uno,Active,Engine,Major
15000,CYL. HEAD REMOVE & DETERMINE CONDITION,2,2,Labour,Venture,Active,0,0
15000,CYL. HEAD REMOVE & DETERMINE CONDITION,2,,Labour,Venture,Active,Engine and Accessories,Major Repair
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.25,2.25,Labour,Week End,Active,Engine,Major
15000,CYL. HEAD REMOVE & DETERMINE CONDITION,2,2,Labour,Winger_Platinum,Active,0,0
15000,CYL. HEAD REMOVE & DETERMINE CONDITION,2,,Labour,Winger_Platinum,Active,Engine and Accessories,0
15000,CYLINDER HEAD DISMANTLE AND ASSEMBLE (INCL. ALL ADJUSTMENTS),2.5,2.5,Labour,Xenon XT,Active,Engine,
15010,R/R CYLINDER HEAD GASKET DIESEL,3,3,Labour,Adventure,Active,,
15010,R/R CYLINDER HEAD GASKET DIESEL,2.7,2.7,Labour,Fiat500,Active,,
15010,R/R CYLINDER HEAD GASKET DIESEL,5.9,6,Labour,Grande Punto,Active,,
15010,R/R CYLINDER HEAD GASKET DIESEL,3,3,Labour,Indigo Manza,Active,,
15010,R/R CYLINDER HEAD GASKET DIESEL,3,3,Labour,Linea,Active,0,0
